Time,Speed,RunIndex
0,6.547654686559835,0
5,6.830805646887065,0
10,7.100725067854577,0
15,5.824395980261956,0
20,8.46751405260789,0
25,7.89947942594239,0
30,5.84588352385909,0
35,8.189068195563333,0
40,7.744704353721241,0
45,6.003771784922743,0
50,6.744495290357341,0
55,4.3422239156754685,0
60,6.8412840415655065,0
65,6.970131027770261,0
70,7.8923535877857365,0
75,6.740240405247226,0
80,6.56631782268255,0
85,7.347704929376543,0
90,6.931687530166634,0
95,6.751591107684237,0
100,6.873333164487197,0
105,6.330645078798606,0
110,3.8984696637176772,0
115,6.95408980060632,0
120,5.5066066972295555,0
125,5.094267643403105,0
130,6.6506755942497495,0
135,6.498763818348141,0
140,6.241728933863339,0
145,7.831417813872731,0
150,9.136711248980784,0
155,5.053564637072501,0
160,6.777103374655533,0
165,6.762246383884489,0
170,7.293354435185267,0
175,7.161492712504768,0
180,7.4105683144541645,0
185,7.186050571122931,0
190,9.380966187827045,0
195,8.521195871734191,0
200,4.628252069819934,0
205,6.138372063478602,0
210,5.306213594050067,0
215,8.264922117611308,0
220,6.952823168833883,0
225,7.030114764304635,0
230,6.9365291817184564,0
235,7.640147755246225,0
240,4.828303691578981,0
245,4.2481668484155675,0
250,7.474014572025902,0
255,6.3300098418187725,0
260,6.3582006776536035,0
265,5.612642714940379,0
270,5.199440420155204,0
275,7.4779825852444874,0
280,5.915152359935491,0
285,5.950794689392509,0
290,5.776411570870435,0
295,4.752525740988794,0
300,6.610835917477045,0
305,6.826983564370592,0
310,7.436287577011803,0
315,6.002116286071272,0
320,4.591571396891522,0
325,7.5230074067444255,0
330,6.401009519806672,0
335,4.769855787252249,0
340,7.779805414999822,0
345,4.315021349824323,0
350,6.508393835753741,0
355,4.934540151113219,0
360,6.572432373243797,0
365,5.921526215383408,0
370,6.0214126677696695,0
375,5.607086443213493,0
380,6.587873288548041,0
385,9.03999927046705,0
390,7.053221524950007,0
395,6.816456927087044,0
400,6.931821377253735,0
405,7.696726656414809,0
410,7.1279843162059136,0
415,7.04792222286552,0
420,4.452500651358312,0
425,6.63339266295686,0
430,5.724999455861079,0
435,7.349969427817301,0
440,6.38109643575624,0
445,7.655075548112867,0
450,5.451501997171831,0
455,7.715637544395911,0
460,7.580240161978062,0
465,7.32485021337419,0
470,6.935756360787339,0
475,7.654929687898275,0
480,6.8749594735347,0
485,7.351972456917419,0
490,6.935025966013455,0
495,6.268300757328552,0
500,8.306895738247778,0
505,7.02751202679049,0
510,6.339111180844788,0
515,7.746664947662103,0
520,8.188937329660817,0
525,4.755422949636525,0
530,6.906824104407739,0
535,6.063362138631231,0
540,8.987817523132005,0
545,8.261955412759315,0
550,5.3919774207357385,0
555,6.773961688717868,0
560,5.839675966947033,0
565,3.9592775501604,0
570,5.143114163572095,0
575,6.573507677467903,0
580,5.7866138692427755,0
585,6.889600844147504,0
590,6.257241140981289,0
595,6.791367114692417,0
600,7.182098654540448,0
605,6.583703949866132,0
610,7.81149899839441,0
615,7.689551308998073,0
620,6.1925871716237815,0
625,8.94462883774235,0
630,6.045184247197361,0
635,5.729238241697708,0
640,7.693670082903798,0
645,5.632042836970079,0
650,6.754328761349808,0
655,6.533952348783943,0
660,7.150998377800269,0
665,6.477820749974401,0
670,6.958981422989454,0
675,4.64101025228957,0
680,6.288497744242696,0
685,7.251242707866921,0
690,7.042692890907353,0
695,5.198380138718856,0
700,6.253361677481713,0
705,6.700223213692835,0
710,4.823606659795293,0
715,7.213543224717592,0
720,6.417451215924553,0
725,6.162576613268038,0
730,7.083101601394,0
735,4.947052764863728,0
740,7.406008475031673,0
745,6.920778786646419,0
750,4.800482369764017,0
755,6.475780492790117,0
760,7.196348128403505,0
765,5.6233216031194,0
770,5.743026553288261,0
775,6.0516766211284,0
780,4.741564385633788,0
785,6.206546225906798,0
790,7.351799351502535,0
795,7.118575687278173,0
800,4.954534536529618,0
805,5.311717060782026,0
810,8.725280976402507,0
815,6.0687918902414895,0
820,6.067977810189277,0
825,4.762412214828485,0
830,6.757633996398277,0
835,6.74160983774656,0
840,6.415129518206919,0
845,7.268892042498851,0
850,6.413308401507765,0
855,6.305154648974246,0
860,6.598829071192573,0
865,5.834371852670386,0
870,8.171410541604148,0
875,7.093771213085142,0
880,7.994240582465825,0
885,6.497952663265066,0
890,5.451512202658188,0
895,6.608711421235421,0
900,9.55503760342803,0
905,7.073133059080808,0
910,6.986867664597952,0
915,6.344026029571138,0
920,6.673781861490498,0
925,5.305403784768213,0
930,5.145395842599357,0
935,6.210205225380347,0
0,4.758816773513651,1
5,6.861084387866847,1
10,6.705614914697181,1
15,4.754613329895832,1
20,6.394627039230452,1
25,5.428847240985917,1
30,6.257060126083376,1
35,5.4283721243230865,1
40,7.201748546947104,1
45,7.57823336602417,1
50,6.511155546827095,1
55,6.349532123041471,1
60,6.1818868539456515,1
65,5.871206924594457,1
70,7.522281465476446,1
75,7.216398906931355,1
80,7.4254881110846656,1
85,6.077112686870821,1
90,5.761718515469,1
95,3.683411306628186,1
100,6.959553221140916,1
105,6.72790399517223,1
110,5.165541668646121,1
115,5.367501240816466,1
120,4.417816645831243,1
125,7.563358977122549,1
130,6.899763964121398,1
135,6.9472199745011585,1
140,7.505999541099822,1
145,5.431680025052047,1
150,5.649715575307439,1
155,8.264777775277864,1
160,6.146134026912989,1
165,6.9683457084462574,1
